Mon May  8 01:14:37 2017, Clear
Mon May  8 02:14:41 2017, Clear
Mon May  8 03:14:46 2017, Clear
Mon May  8 04:14:51 2017, Partly Cloudy
Mon May  8 05:14:55 2017, Partly Cloudy
Mon May  8 06:15:00 2017, Partly Cloudy
Mon May  8 07:15:05 2017, Clear
Mon May  8 08:15:09 2017, Clear
Mon May  8 09:15:14 2017, Clear
Mon May  8 10:15:19 2017, Clear
Mon May  8 11:15:23 2017, Clear
Mon May  8 12:15:28 2017, Clear
Mon May  8 13:15:33 2017, Clear
Mon May  8 14:15:37 2017, Clear
Mon May  8 15:15:42 2017, Clear
Mon May  8 16:15:47 2017, Clear
Mon May  8 17:15:51 2017, Clear
Mon May  8 18:15:56 2017, Thunderstorm
Mon May  8 19:16:01 2017, Clear
Mon May  8 20:16:05 2017, Partly Cloudy
Mon May  8 21:16:10 2017, Partly Cloudy
Mon May  8 22:16:15 2017, Partly Cloudy
Mon May  8 23:16:20 2017, Partly Cloudy
Tue May  9 00:16:24 2017, Partly Cloudy
Tue May  9 01:16:29 2017, Partly Cloudy
Tue May  9 02:16:33 2017, Partly Cloudy
Tue May  9 03:16:38 2017, Partly Cloudy
Tue May  9 04:16:42 2017, Partly Cloudy
Tue May  9 05:16:47 2017, Partly Cloudy
Tue May  9 06:16:52 2017, Thunderstorm
Tue May  9 07:16:56 2017, Thunderstorm
Tue May  9 08:17:01 2017, Partly Cloudy
Tue May  9 09:17:06 2017, Partly Cloudy
Tue May  9 10:17:10 2017, Partly Cloudy
Tue May  9 11:17:15 2017, Mostly Cloudy
Tue May  9 12:17:20 2017, Partly Cloudy
Tue May  9 13:17:24 2017, Partly Cloudy
Tue May  9 14:17:29 2017, Partly Cloudy
Tue May  9 15:17:33 2017, Partly Cloudy
Tue May  9 16:17:38 2017, Partly Cloudy
Tue May  9 17:17:42 2017, Partly Cloudy
Tue May  9 18:17:47 2017, Partly Cloudy
Tue May  9 19:17:52 2017, Mostly Cloudy
Tue May  9 20:17:57 2017, Partly Cloudy
Tue May  9 21:18:01 2017, Partly Cloudy
Tue May  9 22:18:06 2017, Partly Cloudy
Tue May  9 23:18:11 2017, Partly Cloudy
Wed May 10 00:18:15 2017, Partly Cloudy
Wed May 10 01:18:20 2017, Clear
Wed May 10 02:18:24 2017, Clear
Wed May 10 03:18:29 2017, Partly Cloudy
Wed May 10 04:18:34 2017, Rain
Wed May 10 05:18:38 2017, Mostly Cloudy
Wed May 10 06:18:43 2017, Partly Cloudy
Wed May 10 07:18:47 2017, Partly Cloudy
Wed May 10 08:18:52 2017, Partly Cloudy
Wed May 10 09:18:56 2017, Partly Cloudy
Wed May 10 10:19:01 2017, Partly Cloudy
Wed May 10 11:19:06 2017, Partly Cloudy
Wed May 10 12:19:10 2017, Partly Cloudy
Wed May 10 13:19:15 2017, Partly Cloudy
Wed May 10 14:19:20 2017, Partly Cloudy
Wed May 10 15:19:24 2017, Partly Cloudy
Wed May 10 16:19:29 2017, Mostly Cloudy
Wed May 10 17:19:33 2017, Partly Cloudy
Wed May 10 18:19:38 2017, Partly Cloudy
Wed May 10 19:19:42 2017, Partly Cloudy
Wed May 10 20:19:48 2017, Partly Cloudy
Wed May 10 20:59:53 2017, Clear
Wed May 10 22:00:12 2017, Clear
